date,rainfall,max_temp,min_temp,rel_humidity,wind_speed,wind _direction
1/1/2006,0,35,25,71,0,180
1/2/2006,0,35,25,64,6,270
1/3/2006,0,35,25,68,5,220
1/4/2006,0,35,25,76,12,220
1/5/2006,0,34,23,71,5,290
1/6/2006,0,35,25,43,4,270
1/7/2006,0,34,24,31,6,200
1/8/2006,2.399999999,33,25,26,6,230
1/9/2006,0,35,25,34,3,180
1/10/2006,0,35,25,35,4,160
1/11/2006,0,34,21,37,4,160
1/12/2006,0,33,24,41,0,200
1/13/2006,0,34,25,43,6,240
1/14/2006,0,33,24,49,6,150
1/15/2006,0,33,25,41,5,230
1/16/2006,0,34,25,55,0,160
1/17/2006,0,33,25,71,3,200
1/18/2006,0,35,25,47,3,160
1/19/2006,0,35,25,46,0,300
1/20/2006,0,35,25,48,6,170
1/21/2006,0,35,25,48,4,160
1/22/2006,0,36,26,58,0,120
1/23/2006,0,35,26,73,6,270
1/24/2006,0,37,27,52,5,260
1/25/2006,0,37,25,72,7,230
1/26/2006,0,33,23,70,6,210
1/27/2006,0,34,25,72,6,250
1/28/2006,5.199999999,35,25,76,6,270
1/29/2006,0,35,26,68,7,120
1/30/2006,0,35,26,70,5,180
1/31/2006,0,35,25,72,4,180
2/1/2006,0,36,26,62,0,160
2/2/2006,0,37,24,70,0,270
2/3/2006,0,36,24,72,0,180
2/4/2006,0,36,26,76,0,160
2/5/2006,0,36,24,73,7,180
2/6/2006,6.799999999,34,25,84,12,190
2/7/2006,0,36,26,78,5,200
2/8/2006,0,37,26,75,0,200
2/9/2006,0,36,22,79,15,190
2/10/2006,0,37,25,75,2,200
2/11/2006,0,37,25,74,5,150
2/12/2006,0,35,24,71,13,190
2/13/2006,0,37,25,68,8,190
2/14/2006,6.1,35,25,68,14,270
2/15/2006,0,35,25,67,16,290
2/16/2006,24.59999999,38,24,72,7,180
2/17/2006,0,36,26,73,7,200
2/18/2006,0,37,25,75,0,210
2/19/2006,0,35,24,75,3,240
